,fecha_hora_inicio,fecha_hora_fin,kernel,c,gamma,model_score,model_accuracy,model_precision,model_recall
0,"13/07/2019, 13:43:37","13/07/2019, 13:44:20",linear,30,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:44:20","13/07/2019, 13:45:03",linear,30,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:45:03","13/07/2019, 13:46:11",linear,20.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:46:11","13/07/2019, 13:47:18",linear,20.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:47:18","13/07/2019, 13:48:26",linear,20.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:48:26","13/07/2019, 13:49:33",linear,20.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:49:34","13/07/2019, 13:50:41",linear,20.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:50:41","13/07/2019, 13:51:48",linear,20.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:51:48","13/07/2019, 13:52:57",linear,20.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:52:57","13/07/2019, 13:54:06",linear,20.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:54:06","13/07/2019, 13:55:13",linear,20.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:55:13","13/07/2019, 13:56:21",linear,20.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:56:21","13/07/2019, 13:57:29",linear,20.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:57:29","13/07/2019, 13:58:40",linear,20.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:58:40","13/07/2019, 13:59:41",linear,10.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 13:59:41","13/07/2019, 14:00:44",linear,10.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:00:44","13/07/2019, 14:01:47",linear,10.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:01:47","13/07/2019, 14:02:48",linear,10.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:02:48","13/07/2019, 14:03:49",linear,10.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:03:49","13/07/2019, 14:04:52",linear,10.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:04:52","13/07/2019, 14:05:55",linear,10.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:05:55","13/07/2019, 14:06:55",linear,10.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:06:55","13/07/2019, 14:07:56",linear,10.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:07:56","13/07/2019, 14:08:58",linear,10.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:08:58","13/07/2019, 14:10:01",linear,10.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:10:01","13/07/2019, 14:11:01",linear,10.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:11:01","13/07/2019, 14:11:46",linear,9.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:11:46","13/07/2019, 14:12:31",linear,9.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:12:31","13/07/2019, 14:13:16",linear,9.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:13:16","13/07/2019, 14:14:00",linear,9.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:14:00","13/07/2019, 14:14:45",linear,9.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:14:45","13/07/2019, 14:15:29",linear,9.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:15:29","13/07/2019, 14:16:16",linear,9.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:16:16","13/07/2019, 14:17:02",linear,9.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:17:02","13/07/2019, 14:17:47",linear,9.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:17:47","13/07/2019, 14:18:31",linear,9.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:18:31","13/07/2019, 14:19:17",linear,9.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:19:17","13/07/2019, 14:20:04",linear,9.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:20:04","13/07/2019, 14:20:44",linear,8.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:20:44","13/07/2019, 14:21:27",linear,8.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:21:27","13/07/2019, 14:22:10",linear,8.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:22:10","13/07/2019, 14:22:51",linear,8.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:22:51","13/07/2019, 14:23:33",linear,8.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:23:34","13/07/2019, 14:24:14",linear,8.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:24:14","13/07/2019, 14:24:55",linear,8.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:24:55","13/07/2019, 14:25:35",linear,8.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:25:35","13/07/2019, 14:26:16",linear,8.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:26:16","13/07/2019, 14:26:57",linear,8.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:26:57","13/07/2019, 14:27:39",linear,8.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:27:39","13/07/2019, 14:28:20",linear,8.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:28:20","13/07/2019, 14:28:45",linear,7.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:28:45","13/07/2019, 14:29:10",linear,7.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:29:10","13/07/2019, 14:29:36",linear,7.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:29:36","13/07/2019, 14:30:01",linear,7.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:30:01","13/07/2019, 14:30:26",linear,7.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:30:26","13/07/2019, 14:30:52",linear,7.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:30:52","13/07/2019, 14:31:18",linear,7.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:31:18","13/07/2019, 14:31:43",linear,7.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:31:43","13/07/2019, 14:32:09",linear,7.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:32:09","13/07/2019, 14:32:34",linear,7.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:32:34","13/07/2019, 14:32:59",linear,7.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:32:59","13/07/2019, 14:33:25",linear,7.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:33:25","13/07/2019, 14:34:00",linear,6.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:34:00","13/07/2019, 14:34:36",linear,6.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:34:36","13/07/2019, 14:35:11",linear,6.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:35:11","13/07/2019, 14:35:46",linear,6.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:35:46","13/07/2019, 14:36:21",linear,6.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:36:21","13/07/2019, 14:36:59",linear,6.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:36:59","13/07/2019, 14:37:35",linear,6.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:37:35","13/07/2019, 14:38:15",linear,6.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:38:15","13/07/2019, 14:38:53",linear,6.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:38:53","13/07/2019, 14:39:28",linear,6.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:39:28","13/07/2019, 14:40:04",linear,6.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:40:04","13/07/2019, 14:40:39",linear,6.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:40:39","13/07/2019, 14:41:11",linear,5.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:41:11","13/07/2019, 14:41:44",linear,5.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:41:44","13/07/2019, 14:42:16",linear,5.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:42:16","13/07/2019, 14:42:48",linear,5.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:42:48","13/07/2019, 14:43:20",linear,5.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:43:20","13/07/2019, 14:43:52",linear,5.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:43:52","13/07/2019, 14:44:24",linear,5.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:44:24","13/07/2019, 14:44:57",linear,5.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:44:57","13/07/2019, 14:45:29",linear,5.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:45:29","13/07/2019, 14:46:01",linear,5.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:46:01","13/07/2019, 14:46:34",linear,5.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:46:34","13/07/2019, 14:47:06",linear,5.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:47:06","13/07/2019, 14:47:27",linear,4.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:47:27","13/07/2019, 14:47:47",linear,4.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:47:48","13/07/2019, 14:48:08",linear,4.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:48:08","13/07/2019, 14:48:29",linear,4.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:48:29","13/07/2019, 14:48:49",linear,4.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:48:49","13/07/2019, 14:49:10",linear,4.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:49:10","13/07/2019, 14:49:32",linear,4.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:49:32","13/07/2019, 14:49:53",linear,4.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:49:53","13/07/2019, 14:50:14",linear,4.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:50:15","13/07/2019, 14:50:35",linear,4.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:50:35","13/07/2019, 14:50:56",linear,4.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:50:56","13/07/2019, 14:51:16",linear,4.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:51:16","13/07/2019, 14:51:43",linear,3.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:51:43","13/07/2019, 14:52:09",linear,3.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:52:09","13/07/2019, 14:52:35",linear,3.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:52:35","13/07/2019, 14:53:03",linear,3.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:53:03","13/07/2019, 14:53:29",linear,3.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:53:29","13/07/2019, 14:53:55",linear,3.0,7.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:53:55","13/07/2019, 14:54:23",linear,3.0,6.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:54:23","13/07/2019, 14:54:49",linear,3.0,5.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:54:50","13/07/2019, 14:55:17",linear,3.0,4.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:55:17","13/07/2019, 14:55:43",linear,3.0,3.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:55:43","13/07/2019, 14:56:10",linear,3.0,2.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:56:10","13/07/2019, 14:56:36",linear,3.0,1.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:56:36","13/07/2019, 14:56:58",linear,2.0,30,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:56:58","13/07/2019, 14:57:25",linear,2.0,20.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:57:25","13/07/2019, 14:57:49",linear,2.0,10.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:57:49","13/07/2019, 14:58:13",linear,2.0,9.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
0,"13/07/2019, 14:58:13","13/07/2019, 14:58:36",linear,2.0,8.0,0.7383177570093458,0.7383177570093458,0.6153846153846154,0.6486486486486487
